"PlayerName","Team","POS","ADP","PA","mAVG","mRBI","mR","mSB","mHR","PTS","aPOS","Dollars"
"Mookie Betts","Red Sox","OF","1.9","667","$50.5","$26.5","$56.0","$41.3","$20.4","$194.8","$46.4","$242.1"
"Mike Trout","Angels","OF","1.1","596","$38.0","$30.5","$47.8","$23.8","$40.7","$180.8","$46.4","$228.2"
"Jose Ramirez","Indians","3B","3.9","657","$24.9","$32.3","$32.9","$36.6","$16.8","$143.5","$48.5","$193.0"
"J.D. Martinez","Red Sox","OF/DH","5.5","592","$37.7","$48.3","$26.2","($12.8)","$40.0","$139.5","$46.4","$186.8"
"Nolan Arenado","Rockies","3B","7.2","654","$27.6","$47.7","$33.0","($14.7)","$42.6","$136.1","$48.5","$185.6"
"Giancarlo Stanton","Yankees","OF/DH","21.5","602","$1.3","$53.2","$29.0","($15.5)","$65.7","$133.7","$46.4","$181.1"
"Francisco Lindor","Indians","SS","14.9","652","$27.7","$18.4","$37.0","$27.7","$20.9","$131.6","$42.6","$175.2"
"Christian Yelich","Brewers","OF","7.2","638","$40.9","$16.3","$29.7","$15.1","$13.4","$115.4","$46.4","$162.7"
"Ronald Acuna Jr.","Braves","OF","8.7","652","$18.0","$9.8","$29.2","$37.8","$18.5","$113.4","$46.4","$160.8"
"Trea Turner","Nationals","SS","7.5","657","$29.5","($9.6)","$29.9","$80.4","($14.9)","$115.2","$42.6","$158.8"
"Jose Altuve","Astros","2B","13.7","653","$51.7","$8.6","$23.6","$22.1","($15.2)","$90.9","$58.1","$150.0"
"Charlie Blackmon","Rockies","OF","27.5","678","$30.2","$5.4","$40.4","$10.2","$11.3","$97.4","$46.4","$144.8"
"Trevor Story","Rockies","SS","17.2","607","$6.1","$30.1","$14.7","$22.8","$24.6","$98.4","$42.6","$142.0"
"Nelson Cruz","Twins","DH","96.6","598","$20.0","$38.0","$17.7","($19.6)","$38.4","$94.4","$44.3","$139.7"
"Manny Machado","Padres","SS","17.9","637","$18.1","$27.2","$18.5","($0.6)","$31.0","$94.3","$42.6","$137.9"
"Bryce Harper","Phillies","OF","18.6","614","($7.2)","$27.6","$27.3","$2.3","$39.8","$89.9","$46.4","$137.3"
"Gary Sanchez","Yankees","C","56.5","492","($35.8)","$13.7","$4.1","($16.7)","$18.4","($16.2)","$146.1","$130.9"
"Alex Bregman","Astros","3B/SS","13.7","650","$17.8","$22.2","$31.8","$4.0","$10.6","$86.3","$42.6","$129.9"
"Anthony Rizzo","Cubs","1B","37.1","642","$19.3","$24.7","$29.0","($5.5)","$22.2","$89.7","$38.2","$128.9"
"J.T. Realmuto","Phillies","C","47.7","536","($4.6)","$4.0","($4.2)","($10.0)","($4.1)","($18.9)","$146.1","$128.2"
"Javier Baez","Cubs","2B/3B/SS","16.9","627","$4.2","$28.0","$10.1","$19.9","$21.2","$83.4","$42.6","$127.0"
"Daniel Murphy","Rockies","2B","66.7","602","$54.0","$12.9","$14.5","($14.5)","($0.1)","$66.8","$58.1","$126.0"
"Juan Soto","Nationals","OF","35.2","602","$31.4","$18.2","$19.4","($6.3)","$15.2","$77.8","$46.4","$125.2"
"Andrew Benintendi","Red Sox","OF","29.3","656","$27.8","$1.2","$36.5","$23.5","($11.2)","$77.7","$46.4","$125.1"
"Freddie Freeman","Braves","1B","21.3","647","$27.0","$24.0","$23.1","($3.0)","$13.2","$84.4","$38.2","$123.6"
"Starling Marte","Pirates","OF","36.1","625","$21.7","($5.0)","$6.5","$62.1","($14.2)","$71.1","$46.4","$118.5"
"Aaron Judge","Yankees","OF","15.7","619","($19.7)","$23.8","$29.5","($4.5)","$38.7","$67.7","$46.4","$115.1"
"Kris Bryant","Cubs","3B/OF","32.3","627","$10.8","$16.9","$26.1","($6.4)","$17.1","$64.5","$48.5","$114.0"
"Paul Goldschmidt","Cardinals","1B","18.6","645","$14.4","$18.9","$23.3","$4.1","$13.5","$74.2","$38.2","$113.4"
"Rhys Hoskins","Phillies","OF","40.3","644","($23.1)","$34.7","$22.2","($9.4)","$41.3","$65.6","$46.4","$112.9"
"Yasiel Puig","Reds","OF","71.9","575","$8.6","$19.0","$7.9","$14.1","$15.8","$65.5","$46.4","$112.8"
"Cody Bellinger","Dodgers","1B/OF","45.2","627","($12.8)","$28.0","$13.8","$3.9","$27.4","$60.2","$46.4","$107.6"
"Marcell Ozuna","Cardinals","OF","78.5","603","$29.2","$24.0","$3.4","($17.1)","$14.3","$53.9","$46.4","$101.3"
"Vladimir Guerrero Jr.","Blue Jays","3B","40.9","544","$40.6","$11.4","$8.0","($10.2)","$1.6","$51.3","$48.5","$100.8"
"Khris Davis","Athletics","DH","43.9","637","($36.4)","$41.7","$18.4","($19.4)","$50.3","$54.5","$44.3","$99.8"
"Buster Posey","Giants","C","144.6","531","$15.1","($13.4)","($11.1)","($12.4)","($28.2)","($49.9)","$146.1","$97.2"
"Adalberto Mondesi","Royals","SS","40.2","587","($20.0)","($5.8)","($0.6)","$80.4","($3.8)","$50.2","$42.6","$93.7"
"Jose Abreu","White Sox","1B","86.7","622","$19.3","$24.8","$7.8","($17.6)","$17.7","$52.0","$38.2","$91.2"
"Eddie Rosario","Twins","OF","88.0","615","$14.7","$16.2","$7.0","($1.4)","$7.0","$43.5","$46.4","$90.9"
"Xander Bogaerts","Red Sox","SS","48.0","617","$26.6","$12.6","$12.8","$1.1","($8.7)","$44.4","$42.6","$87.9"
"Yasmani Grandal","Brewers","C","124.7","496","($42.8)","$0.2","($4.9)","($16.7)","$4.4","($59.9)","$146.1","$87.2"
"Whit Merrifield","Royals","2B/OF","30.5","663","$13.0","($21.0)","$11.4","$54.5","($30.6)","$27.3","$58.1","$86.5"
"Rougned Odor","Rangers","2B","132.7","622","($23.9)","$12.8","$3.3","$16.5","$16.2","$24.9","$58.1","$84.0"
"Anthony Rendon","Nationals","3B","43.5","596","$26.2","$9.8","$10.1","($11.4)","($1.6)","$33.1","$48.5","$82.6"
"Eloy Jimenez","White Sox","OF","119.0","548","$27.0","$15.6","$0.6","($16.9)","$7.7","$34.0","$46.4","$81.4"
"David Peralta","Diamondbacks","OF","139.6","649","$21.0","$4.7","$15.1","($9.7)","$2.5","$33.6","$46.4","$81.0"
